#TimeStamp;Runtime;Requests
0.88;0.02;20
1.93;0;3
2.93;0;5
3.93;0;7
4.93;0;7
5.93;0;2
6.93;0;6
7.93;0;5
8.93;0;3
9.93;0;5
10.93;0;9
11.97;0;8
12.98;0;4
14.02;0;4
15.02;0;5
16.02;0;4
17.02;0;2
18.02;0;2
19.31;0;4
20.52;0;6
21.52;0;3
22.61;0;1
23.72;0;5
24.96;0;4
25.96;0;2
26.96;0;3
28.14;0;2
29.16;0;3
30.41;0;1
31.44;0;3
32.44;0;5
33.44;0;2
34.44;0;4
35.47;0;4
36.51;0;3
37.51;0;4
38.55;0;2
39.6;0;3
40.64;0;3
41.64;0;3
42.98;0;3
44.05;0;3
45.14;0;3
46.23;0;4
47.42;0;3
48.69;0;2
49.77;0;2
51.01;0;2
52.28;0;5
53.31;0;2
54.32;0;3
55.36;0;2
56.41;0;1
57.47;0;3
58.61;0;4
59.61;0;2
60.61;0;1
61.61;0;3
62.78;0;2
64.2;0;3
65.35;0;3
66.38;0;3
67.51;0;1
68.69;0;4
69.69;0;4
70.93;0;2
72.14;0;2
73.14;0;3
74.14;0;1
75.14;0;3
76.14;0;2
77.15;0;1
78.19;0;1
79.23;0;3
80.28;0;1
81.28;0;1
82.32;0;2
83.37;0;2
84.39;0;2
85.44;0;1
86.44;0;1
87.53;0;3
88.57;0;4
89.57;0;2
90.99;0;1
92.02;0;3
93.02;0;2
94.06;0;5
96.11;0;1
97.24;0;2
98.28;0;2
99.37;0;1
100.74;0;1
102.03;0;1
103.07;0;2
104.16;0;2
105.25;0;1
107.48;0;1
108.52;0;2
109.77;0;2
110.89;0;3
111.97;0;2
113.11;0;2
115.06;0;2
116.22;0;1
117.27;0;1
118.57;0;2
119.57;0;2
120.57;0;1
121.58;0;2
122.6;0;2
123.87;0;1
125.18;0;1
126.22;0;1
127.44;0;1
128.56;0;1
129.67;0;1
130.99;0;2
132.21;0;5
133.35;0;1
134.51;0;2
135.57;0;2
136.81;0;1
138.19;0;1
141.15;0;1
142.27;0;1
143.28;0;2
144.39;0;2
145.48;0;1
146.9;0;3
147.94;0;3
148.98;0;3
149.98;0;1
151.02;0;1
152.16;0;1
153.24;0;2
154.4;0;1
155.44;0;1
156.75;0;3
158.57;0;1
159.66;0;1
160.87;0;1
161.96;0;2
163.03;0;2
164.08;0;1
165.11;0;4
166.2;0;1
167.29;0;2
169.96;0;1
171.28;0;4
172.46;0;1
173.72;0;3
174.95;0;2
176.08;0;1
177.11;0;1
178.12;0;1
179.41;0;1
180.41;0;3
181.66;0;1
182.81;0;3
183.86;0;1
185.18;0;3
186.41;0;1
187.67;0;4
190.68;0;1
192.07;0;2
193.07;0;4
194.07;0;1
195.36;0;2
196.41;0;1
197.41;0;2
198.82;0;1
199.86;0;2
200.91;0;2
201.99;0;2
203.52;0;1
204.61;0;1
205.77;0;3
207.2;0;1
209.87;0;1
211.02;0;1
212.07;0;3
213.16;0;3
214.29;0;1
215.38;0;1
216.47;0;1
217.53;0;2
218.56;0;2
219.63;0;3
220.7;0;2
221.79;0;2
222.88;0;1
224.47;0;1
225.55;0;1
226.6;0;1
227.7;0;4
229.01;0;1
231.39;0;2
232.71;0;3
234.89;0;1
236.21;0;1
237.47;0;2
238.54;0;3
239.88;0;1
240.9;0;2
241.99;0;1
243.06;0;1
244.45;0;4
245.76;0;3
246.81;0;1
247.91;0;3
249;0;2
250.06;0;1
251.15;0;4
252.68;0;1
253.82;0;1
255.07;0;2
256.47;0;2
257.53;0;1
259.6;0;1
260.69;0;2
261.81;0;2
263.06;0;1
265.02;0;1
266.12;0;2
267.15;0;3
268.16;0;1
269.37;0;1
270.4;0;1
271.41;0;2
272.41;0;3
273.43;0;1
274.52;0;2
275.61;0;1
276.74;0;2
278.02;0;1
279.29;0;2
280.36;0;1
281.45;0;3
282.74;0;1
284.11;0;4
285.41;0;1
286.7;0;2
288.02;0;3
289.38;0;2
290.58;0;1
291.59;0;1
293;0;1
294.09;0;2
295.48;0;1
296.72;0;1
298.03;0;4
299.35;0;2
300.48;0;1
301.48;0;1
302.51;0;3
303.51;0;1
304.53;0;2
305.58;0;1
307.51;0;1
308.83;0;1
309.92;0;2
311.48;0;1
312.5;0;2
313.56;0;2
314.78;0;3
316.02;0;2
317.29;0;2
318.56;0;2
319.62;0;2
320.85;0;1
322.16;0;2
323.25;0;2
324.54;0;1
325.56;0;2
326.59;0;1
327.9;0;1
329.01;0;2
